desc,model,weighted,train_f1_micro,train_f1_macro,train_f1_weighted,train_accuracy,test_f1_micro,test_f1_macro,test_f1_weighted,test_accuracy,time,mode,hidden_size,input_size,layers,train_loss,test_loss
"ORB(nfeatures=250, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.8748538011695906,0.7754428047285509,0.848794916067418,0.8748538011695907,0.8271028037383178,0.7149570165554819,0.7911879397860706,0.8271028037383178,1604414917.1122782,cells,256.0,32.0,1.0,0.8532354831695557,0.9095125198364258
"ORB(nfeatures=250, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.816374269005848,0.6821403454329086,0.7809330471401695,0.816374269005848,0.7803738317757009,0.6328171558899323,0.7386489101832832,0.780373831775701,1604414931.4773698,cells,256.0,32.0,1.0,0.9749431610107422,0.9980366826057434
"ORB(nfeatures=250, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.8853801169590644,0.8129052854099936,0.8729666060695456,0.8853801169590644,0.7850467289719625,0.6557169183600249,0.7589603363864127,0.7850467289719626,1604414950.6597714,hidden,128.0,32.0,1.0,0.6616904735565186,0.7824409008026123
"ORB(nfeatures=250, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.9087719298245615,0.8524991454423656,0.8987171390568308,0.9087719298245615,0.808411214953271,0.684070790573565,0.7785494707076829,0.8084112149532711,1604414956.3237708,hidden,128.0,32.0,1.0,0.757142961025238,0.8427152037620544
"ORB(nfeatures=250, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.8573099415204678,0.7202666450618397,0.8171223727330958,0.8573099415204678,0.7990654205607477,0.6339730218328467,0.7506506705552242,0.7990654205607477,1604414964.7711236,hidden,128.0,32.0,1.0,0.8742946982383728,0.9225023984909058
"ORB(nfeatures=250, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.9672514619883041,0.9495307952124095,0.9664702098786548,0.9672514619883041,0.7897196261682243,0.6932692212294962,0.7781385311104082,0.7897196261682243,1604414976.0528607,hidden,256.0,32.0,1.0,0.38801372051239014,0.6322780251502991
"ORB(nfeatures=250, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.9614035087719298,0.9406563690960291,0.9611433968804215,0.9614035087719298,0.7897196261682243,0.7065985440459494,0.7845141191840016,0.7897196261682243,1604414985.6681657,hidden,256.0,32.0,1.0,0.47451287508010864,0.6642118096351624
"ORB(nfeatures=250, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.952046783625731,0.9302952200995003,0.9508010942413352,0.952046783625731,0.7990654205607477,0.6920868347338935,0.7826278174821332,0.7990654205607477,1604415000.052865,hidden,256.0,32.0,1.0,0.5813929438591003,0.7283344864845276
"ORB(nfeatures=250, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.8538011695906432,0.7618414033319892,0.8389191646533808,0.8538011695906432,0.7710280373831775,0.641758902292418,0.7405280801933702,0.7710280373831776,1604415019.2653353,hidden,128.0,32.0,1.0,0.9279568195343018,0.9844953417778015
"ORB(nfeatures=250, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.8269005847953217,0.6934130248524066,0.7963421418511251,0.8269005847953217,0.794392523364486,0.6534402534402535,0.7563461376545488,0.794392523364486,1604415024.9827363,hidden,128.0,32.0,1.0,1.0718042850494385,1.0932835340499878
